cp,artist,song,section
III-VII-VI,josh mancell,crash bandicoot warped medieval levels,verse
III-VII-VI,deadmau5,october,chorus
III-VII-VI,hixxy,sacrifice,chorus
III-VII-VI,nick jonas,levels,chorus
III-VII-VI,nintendo,tetris attack - water stage,verse
III-VII-VI,shoji meguro,persona 4 - reach out to the truth,chorus
III-VII-VI,bee gees,to love somebody,verse
III-VII-VI,duran duran,hungry like the wolf,chorus
III-VII-VI,sufjan stevens,casimir pulaski day,verse
III-VII-VI,ween,happy colored marbles,chorus
III-VII-VI,tim minchin,not perfect,verse
III-VII-III,billy joel,she's always a woman,verse
III-VII-III,creedence clearwater revival,have you ever seen the rain,verse
III-VII-III,mitch benn,mitch benn's imagine,verse
III-VII-III,the beatles,when i'm sixty-four,verse
III-VII-III,scott joplin,the entertainer,verse
III-VII-III,they might be giants,taste the fame,chorus
III-VII-III,weird al yankovic,since you've been gone,chorus
III-VII-III,disney,a whole new world,verse
III-VII-III,bob marley,no woman no cry,chorus
III-VII-III,soundprank,boundless energy,chorus
III-VII-III,grant kirkhope,click clock wood,verse
III-VII-III,tom jones,delilah,chorus
III-VII-III,nintendo,kirby's adventure - grape garden,verse
III-VII-III,jay-z and alicia keys,empire state of mind,chorus
III-VII-III,black lace,hokey cokey,verse
III-VII-III,the white stripes,little ghost,verse
III-VII-III,jean jacques perrey,brazilian flower,chorus
III-VII-III,creedence clearwater revival,hello mary lou,verse
III-VII-III,petit milady,hinoito rinne no gemini,verse
III-VII-III,louis armstrong,when the saints go marching in,chorus
III-VII-III,blue swede,hooked on a feeling,verse
III-VII-III,michael kiwanuka,bones,chorus
III-VII-III,unknown,flea waltz,verse
III-VII-III,u2,gone,chorus
III-VII-III,nicki minaj,the night is still young,chorus
III-VII-III,they might be giants,everything right is wrong again,chorus
III-VII-III,simon and garfunkel,america,verse
III-VII-III,bela fleck,big country,chorus
III-VII-III,stevie wonder,for once in my life,verse
III-VII-III,nintendo,tetris attack - water stage,verse
III-VII-III,denis m hannigan,recess theme,chorus
III-VII-III,brandi carlile,closer to you,verse
III-VII-III,dooley wilson,as time goes by,verse
III-VII-III,britt nicole,gold,verse
III-VII-III,the gaslight anthem,blue dahlia,chorus
III-VII-III,commodores,sail on,chorus
III-VII-iv,the beatles,with a little help from my friends,verse
III-VII-iv,scorpions,wind of change,chorus
III-VII-iv,tristam,my friend,chorus
III-VII-iv,the downtown fiction,i just wanna run,chorus
III-VII-iv,say anything,alive with the glory of love,verse
III-VI-III,julia howe,battle hymm of the republic,chorus
III-VI-III,julia howe,battle hymm of the republic,verse
III-VI-III,plain white t's,rhythm of love,chorus
III-VI-III,the beatles,a hard day's night,verse
III-VI-III,van morrison,brown eyed girl,verse
III-VI-III,woody guthrie,this land is your land,verse
III-VI-III,keiichi oku,paradise,chorus
III-VI-III,u2,i still haven't found what i'm looking for,verse
III-VI-III,sheena easton,what you are,verse
III-VI-III,the beatles,revolution,verse
III-VI-III,bamse,bamse,verse
III-VI-III,mord fustang,the electric dream,chorus
III-VI-III,lady gaga,you and i,verse
III-VI-III,nintendo - asuka ohta - ryo nagamatsu,mario kart wii - luigi circuit,verse
III-VI-III,andy clark,please don't shoot the trombone players,chorus
III-VI-III,elmer bernstein,the magnificent seven theme,verse
III-VI-III,game freak,coumarine city,chorus
III-VI-III,the quarrymen,in spite of all the danger,verse
III-VI-III,billy joel,the longest time,verse
III-VI-III,josh groban,o holy night,verse
III-VI-III,bent van looy,flowers and balloons,verse
III-VI-III,biffy clyro,god and satan,verse
III-VI-III,george ezra,budapest,verse
III-VI-III,spongebob squarepants,the fun song,chorus
III-VI-III,elliott smith,a fond farewell,verse
III-VI-III,jackson 5,rockin robin,chorus
III-VI-III,wiz khalifa ft charlie puth,see you again,verse
III-VI-III,animusic,harmonic voltage,verse
III-VI-III,bela fleck,big country,chorus
III-VI-III,spongebob squarepants,campfire song song,chorus
III-VI-III,animation domination high-def,the singularity song,chorus
III-VI-III,bahamas,lost in the light,chorus
III-VI-III,weird al yankovic,the night santa went crazy,chorus
III-VI-III,james lord pierpont,jingle bells,chorus
III-VI-III,lush and simon,in my hands,chorus
III-VI-III,david bowie,space oddity,chorus
III-VI-III,syd matters,obstacles,chorus
III-VI-III,neil sedaka,calendar girl,chorus
III-VI-III,elvis presley,don't be cruel,verse
III-VI-III,sega,sonic battle - emerald town,verse
III-VI-III,animal collective,brother sport,chorus
III-VI-III,marvin gaye and tammi terrell,ain't nothing like the real thing,verse
III-VI-III,98 degrees,the hardest thing,chorus
III-VI-VII,diana ross,if we hold on together,verse
III-VI-VII,the beatles,twist and shout,chorus
III-VI-VII,prototyperaptor,mode 7,chorus
III-VI-VII,choucho,yasashisa no riyuu-hyouka-op,chorus
III-VI-VII,game freak,route 216,chorus
III-VI-VII,hideki takahagi and mitsuhito tanaka,the jetsons snes - stage 1,chorus
III-VI-VII,okazaki ritsuko,for fruits basket,verse
III-VI-VII,deadmau5,brazil,chorus
III-VI-VII,violens,all night low,verse
III-VI-VII,the rembrants,i'll be there for you,chorus
III-VI-VII,disney,i'll make a man out of you,chorus
III-VI-VII,unknown,flea waltz,verse
III-VI-VII,game freak,contest assembly hall,verse
III-VI-VII,obadiah parker,hey ya,chorus
III-VI-VII,sega,sonic - his world,chorus
III-VI-VII,wavves,that's on me,verse
III-VI-VII,rudimental,lay it all on me,chorus
III-VI-VII,coldplay,a head full of dreams,verse
III-VI-VII,coldplay,a head full of dreams,verse
III-VI-VII,satoshi iwase,danganronpa - saisei,chorus
III-VI-VII,donna lewis,i love you always forever,verse
III-VI-i,regina spektor,eet,verse
III-VI-i,blind guardian,the lord of the rings,verse
III-VI-i,nick cannon,looking for a dream,chorus
III-VI-i,yevgueni,welkenraedt,chorus
III-VI-i,david wise,in a snow-bound land,verse
III-VI-i,shinedown,45,verse
III-VI-i,modest mouse,ocean breathes salty,verse
III-VI-i,bloc party,banquet,verse
III-VI-i,covesthur,dayresponse,chorus
III-i-VI,coldplay,viva la vida,verse
III-i-VI,fun,we are young,chorus
III-i-VI,lindsey stirling,song of the caged bird,verse
III-i-VI,o-town,all or nothing,verse
III-i-VI,they might be giants,taste the fame,chorus
III-i-VI,buddy holly,everyday,verse
III-i-VI,elliott smith,miss misery,chorus
III-i-VI,jan and dean,dead man's curve,chorus
III-i-VI,emiko shiratori,melodies of life - ffix,verse
III-i-VI,pomplamoose,bust your knee caps,verse
III-i-VI,fall out boy,america's suitehearts,chorus
III-i-VI,the temper trap,sweet disposition,chorus
III-i-VI,the zombies,hung up on a dream,verse
III-i-VI,angelo badalamenti,laura palmer's theme,chorus
III-i-VI,elliott smith,the biggest lie,verse
III-i-VI,henry carey,god save the queen,verse
III-i-VI,loverboy,working for the weekend,verse
III-i-VI,jason derulo,want to want me,chorus
III-i-VI,serge gainsbourg,je t'aime - moi non plus,chorus
III-i-VI,richard dybeck,du gamla du fria - national anthem of sweden,verse
III-i-VI,the drifters,up on the roof,verse
III-i-VI,fire when ready,we all need reminders,verse
III-i-VI,panic at the disco,new perspective,chorus
III-i-VI,eisley,lost at sea,chorus
III-i-VI,crowded house,don't dream it's over,verse
III-i-VI,xi,freedom dive,verse
III-i-VI,weezer,i want you to,verse
III-i-VII,the lumineers,ho hey,verse
III-i-VII,the lumineers,ho hey,verse
III-i-VII,outkast,roses,verse
III-i-VII,outkast,roses,chorus
III-i-VII,blondie,heart of glass,chorus
III-i-VII,tism,everyone else has had more sex than me,verse
III-i-VII,john lennon,jealous guy,verse
III-i-VII,yevgueni,welkenraedt,chorus
III-i-VII,brand new,failure by design,verse
III-i-VII,soko,we might be dead by tomorrow,verse
III-i-VII,d-nox and beckers,the cave - original mix,verse
III-i-VII,fifth harmony,worth it,chorus
III-i-III,brand new,failure by design,verse
III-i-III,nobuo uematsu,kefka's theme,chorus
III-i-III,say anything,shiksa,verse
III-i-iv,olly murs feat flo rida,troublemaker,chorus
III-i-iv,camille saint-saens,organ symphony no 3 op 78 - if i had words,chorus
III-i-iv,lily allen,fuck you,verse
III-i-iv,disney,reflection,verse
III-i-iv,carmen twillie,circle of life,verse
III-i-iv,tomohito nishiura,more london streets,chorus
III-i-iv,the living end,who's gonna save us,chorus
III-i-iv,richard dybeck,du gamla du fria - national anthem of sweden,verse
III-i-iv,phoenix,1901,verse
III-i-iv,weezer,falling for you,verse
III-i-iv,toby fox,determination,verse
III-i-iv,toby fox,determination,chorus
III-i-iv,guster,barrel of a gun,verse
III-i-iv,demi lovato,stone cold,chorus
III-i-V,311,amber,chorus
III-i-V,matt ''norrin radd'' creamer,anomaly - becoming superluminal,chorus
III-i-V,pinback,crutch,verse
III-i-V,pink guy,fuck the police,chorus
III-iv-i,black eyed peas,just can't get enough,chorus
III-iv-i,rihanna,stay,verse
III-iv-i,sia,soon we'll be found,chorus
III-iv-i,steve angello,slvr,chorus
III-iv-i,lucas nord,close to you,chorus
III-iv-i,syn cole,miami 82 - avicii edit,chorus
III-iv-i,fall of troy,fcpremix,chorus
III-iv-i,hozier,take me to church,chorus
III-iv-i,transatlantic,we all need some light,chorus
III-iv-i,sam brown,stop,verse
III-iv-i,say anything,every man has a molly,chorus
III-iv-i,girls' generation,lion heart,chorus
III-iv-i,vandenberg,burning heart,verse
III-iv-i,danny mccarthy,silver scrapes - protoshredanoid remix,chorus
III-iv-i,jake kaufman,strike the earth,chorus
III-iv-VI,kurt vile,jesus fever,verse
III-iv-VI,wet wet wet,love is all around,verse
III-iv-VI,greg cerrone and koko laroo,rise together - inpetto remix,chorus
III-iv-VI,lily allen,sheezus,verse
III-iv-VI,matt ''norrin radd'' creamer,anomaly - becoming superluminal,chorus
III-iv-VI,horimitsu kazumichi,come here daitarn 3,chorus
III-iv-VI,death cab for cutie,the sound of settling,chorus
III-iv-VI,simon and garfunkel,scarborough fair - canticle,verse
III-iv-VI,wilco,elt,chorus
III-iv-V,pink floyd,in the flesh,chorus
III-iv-V,pink floyd,in the flesh,verse
III-iv-V,train,drive by,chorus
III-iv-V,the beatles,if i fell,verse
III-iv-V,jeff buckley,i shall be released,chorus
III-iv-V,kylie minogue,come into my world,verse
III-iv-V,no doubt,spiderwebs,verse
III-iv-V,nathan ford,for better or worse - ending,chorus
III-iv-V,the beatles,i'm only sleeping,verse
III-iv-V,yes,i've seen all good people,verse
III-iv-III,frog fractions soundtrack,rimushotto bungie jump,verse
III-iv-III,ola,i'm in love,verse
III-iv-III,ola,i'm in love,chorus
III-iv-III,ingrid michaelson,you and i,chorus
III-iv-III,bonnie tyler,total eclipse of the heart,verse
III-iv-III,olivia newton-john,twist of fate,chorus
III-iv-III,wavves,way too much,verse
III-iv-III,bubbles and the shitrockers,liquor and whores,chorus
III-iv-III,les miserables,on my own,verse
III-iv-VII,the beatles,ticket to ride,verse
III-iv-VII,tim mcgraw,where the green grass grows,verse
III-iv-VII,kurt vile,kv crimes,verse
III-iv-VII,chris tomlin,our god,verse
III-iv-VII,dead or alive,you spin me round -like a record-,chorus
III-iv-VII,enya,may it be,verse
III-iv-VII,game freak,vs brendan and may,verse
III-iv-VII,lunchmoney lewis,bills,chorus
III-iv-VII,boston,peace of mind,chorus
III-iv-VII,famicomforever,tame trip,verse
III-iv-VII,tally hall,good day,chorus
III-iv-VII,wilco,she's a jar,chorus
III-iv-VII,elton john,daniel,verse
III-iv-VII,love,old man,verse
VI-III-VII,counting crows,walkaways,verse
VI-III-VII,death cab for cutie,i will follow you into the dark,verse
VI-III-VII,journey,don't stop believing,verse
VI-III-VII,nickelback,photograph,verse
VI-III-VII,owl city featuring carly rae jepsen,good time,verse
VI-III-VII,tlc,waterfalls,chorus
VI-III-VII,tlc,waterfalls,verse
VI-III-VII,lil wayne,lollipop,verse
VI-III-VII,nicki minaj,young forever,chorus
VI-III-VII,lifehouse,halfway gone,chorus
VI-III-VII,jimi hendrix,hey joe,verse
VI-III-VII,katy perry,thinking of you,verse
VI-III-VII,tenacious d,karate,verse
VI-III-VII,coldplay,paradise,verse
VI-III-VII,beyonce ,rise up,verse
VI-III-VII,beyonce,rise up,chorus
VI-III-VII,sufjan stevens,chicago,verse
VI-III-VII,rihanna,take a bow,chorus
VI-III-VII,johnny cash,hurt,chorus
VI-III-VII,kurt vile,jesus fever,verse
VI-III-VII,u2,yahweh,verse
VI-III-VII,disney,a whole new world,verse
VI-III-VII,peter frampton,baby i love your way,chorus
VI-III-VII,virgin america,vxsafetydance,chorus
VI-III-VII,u2,with or without you,verse
VI-III-VII,coldplay,amsterdam,verse
VI-III-VII,hinder,lips of an angel,chorus
VI-III-VII,gamma ray,lake of tears,chorus
VI-III-VII,veggie tales,his cheeseburger,verse
VI-III-VII,east and young,starting again,chorus
VI-III-VII,sam smith,stay with me,chorus
VI-III-VII,jack white,love interruption,chorus
VI-III-VII,the beatles,you've got to hide your love away,verse
VI-III-VII,rush,fly by night,chorus
VI-III-VII,spice girls,wannabe,chorus
VI-III-VII,spice girls,wannabe,verse
VI-III-VII,sick individuals,wasting moonlight,chorus
VI-III-VII,the who,won't get fooled again,verse
VI-III-VII,ok go,here it goes again,verse
VI-III-VII,train,drops of jupiter,chorus
VI-III-VII,the gaslight anthem,biloxi parish,chorus
VI-III-VII,spongebob squarepants,a day like this,chorus
VI-III-VII,tiesto ft tegan and sara,feel it in my bones,verse
VI-III-VII,brian fallon,the blues mary,chorus
VI-III-VII,kaipa,smoke from a secret source,chorus
VI-III-VII,marillion,marbles iii,verse
VI-III-VII,the horrible crowes,black betty and the moon,verse
VI-III-VII,the mighty mighty bosstones,the impression that i get,chorus
VI-III-VII,sage koizumi,muv-luv - muv-luv extra ost,chorus
VI-III-VII,wolfgang amadeus mozart,der holle rache kocht in meinem herzen,chorus
VI-III-VII,the mighty mighty bosstones,like a shotgun,chorus
VI-III-VII,a perfect circle,3 libras,verse
VI-III-VII,booman,dart gang,verse
VI-III-VII,galantis,peanut butter jelly,chorus
VI-III-VII,the asteroids galaxy tour,heart attack,chorus
VI-III-VII,guster,hang on,chorus
VI-III-VII,black moth super rainbow,twin of myself,verse
VI-III-VII,a-ha,the sun always shines on tv,chorus
VI-III-VII,wjsn,momomo,chorus
VI-III-VII,hiroki kikuta,meridian dance,chorus
VI-III-VII,the rocky horror show,the time warp,chorus
VI-III-VII,armanarx,sukirman,chorus
VI-III-VII,duran duran,rio,chorus
VI-III-VII,romain gauthier,kakkoii,verse
VI-III-VII,romain gauthier,kakkoii,chorus
VI-III-VII,wyd krakow 2016,blogoslawieni milosierni,chorus
VI-III-VII,wyd krakow 2016,blogoslawieni milosierni,verse
VI-III-VII,the gaslight anthem,blue dahlia,verse
VI-III-VII,klangkarussell,sonnentanz,verse
VI-III-VI,counting crows,a long december,verse
VI-III-VI,elton john,can you feel the love tonight,chorus
VI-III-VI,lily chou chou,kaifuku suru kizu,verse
VI-III-VI,the kinks,lola,verse
VI-III-VI,abba,mamma mia,verse
VI-III-VI,kurt vile,jesus fever,verse
VI-III-VI,birds of tokyo,plans,chorus
VI-III-VI,smash mouth,allstar,chorus
VI-III-VI,bob marley,no woman no cry,chorus
VI-III-VI,gummi bears,adventures of the gummi bears,verse
VI-III-VI,wet wet wet,love is all around,chorus
VI-III-VI,ac dc,highway to hell,chorus
VI-III-VI,the beatles,back in the ussr,verse
VI-III-VI,the beatles,back in the ussr,chorus
VI-III-VI,david willcocks,o come o come emmanuel,verse
VI-III-VI,sarah mclachlan,adia,chorus
VI-III-VI,abba,sos,chorus
VI-III-VI,jean jacques perrey,brazilian flower,chorus
VI-III-VI,serbian soldiers,bog je srbin i on ce nas cuvati,chorus
VI-III-VI,disney,hakuna matata,chorus
VI-III-VI,yevgueni,welkenraedt,chorus
VI-III-VI,we the kings,stay young,verse
VI-III-VI,nobuo uematsu,you're not alone,chorus
VI-III-VI,kaizers orchestra,mr kaizers hans constanze og meg,chorus
VI-III-VI,tanaka kohuei,binks no sake,verse
VI-III-VI,hubert parry,jerusalem,verse
VI-III-VI,the gregory brothers,feel the bern,chorus
VI-III-VI,prince,1999,chorus
VI-III-VI,wilco,elt,verse
VI-III-i,muse,starlight,chorus
VI-III-i,the beatles,eight days a week,verse
VI-III-i,pixies,where is my mind,verse
VI-III-i,the national,exile vilify,verse
VI-III-i,rush,red barchetta,verse
VI-III-i,sam smith,leave your lover,chorus
VI-III-i,kt tunstall,suddenly i see,chorus
VI-III-i,the muppets,rainbow connection,verse
VI-III-i,weezer,say it ain't so,verse
VI-III-i,weezer,say it ain't so,chorus
VI-III-i,one direction,rock me,verse
VI-III-i,david wise,donkey kong country theme song,chorus
VI-III-i,guster,hang on,chorus
VI-III-i,judy garland,over the rainbow,chorus
VI-III-i,covesthur,dayresponse,chorus
VI-III-i,ruth b,lost boy,chorus
VI-VII-i,ayaka hirahara,jupiter,verse
VI-VII-i,diana ross,if we hold on together,chorus
VI-VII-i,elvis presley,can't help falling in love,chorus
VI-VII-i,elvis presley,i can't help falling in love,chorus
VI-VII-i,katy perry,california gurls,chorus
VI-VII-i,katy perry,california gurls,verse
VI-VII-i,nobuo uematsu,atma weapon theme,verse
VI-VII-i,kelly clarkson,catching my breath,chorus
VI-VII-i,nikki williams,glowing,chorus
VI-VII-i,johoshori-bu,seeno,chorus
VI-VII-i,skrillex,cinema remix,chorus
VI-VII-i,teen beach movie,can't stop singing,chorus
VI-VII-i,avicii,speed - burn and lotus f1 team mix,chorus
VI-VII-i,bonnie tyler,total eclipse of the heart,chorus
VI-VII-i,manowar,master of the wind,chorus
VI-VII-i,steerner -tjernberg -beerg -haal,names,chorus
VI-VII-i,gamma ray,lake of tears,chorus
VI-VII-i,killswitch engage,in due time,verse
VI-VII-i,tristam,till it's over,verse
VI-VII-i,linkin park,what i've done,chorus
VI-VII-i,yasunori mitsuda,chrono trigger - to far away times,chorus
VI-VII-i,dimitri vegas and like mike,find tomorrow - ocarina,chorus
VI-VII-i,lady gaga,guy,chorus
VI-VII-i,lana del rey,west coast,chorus
VI-VII-i,zedd ft ryan tedder,lost at sea,verse
VI-VII-i,zedd ft ryan tedder,lost at sea,chorus
VI-VII-i,zun,faith is for the transient people,chorus
VI-VII-i,ponderosa twins plus one,bound,chorus
VI-VII-i,zun,the shining needle castle sinking in the air,verse
VI-VII-i,zun,heian alien,chorus
VI-VII-i,zun,septette for the dead princess,chorus
VI-VII-i,the big bang theory,from the moment that i met you,chorus
VI-VII-i,astronaut-ft--harry-brooks-jnr,champions,chorus
VI-VII-i,eiffel65,hyperlink - deep down,chorus
VI-VII-i,madonna,hung up,chorus
VI-VII-i,dj project ft giulia,nu,chorus
VI-VII-i,they might be giants,experimental film,verse
VI-VII-i,rundfunk,turn around,verse
VI-VII-i,the presets,promises,chorus
VI-VII-i,calvin harris,we'll be coming back,chorus
VI-VII-i,nintendo,super mario galaxy - buoy base galaxy,verse
VI-VII-i,yoko takahashi,neon genesis evangelion - soul's refrain,chorus
VI-VII-i,zun,hiroari shoots a strange bird - till when,chorus
VI-VII-i,yoko shimomura,sanctuary ,chorus
VI-VII-i,kow otani,the wings of a boy who killed adolescence,verse
VI-VII-i,sebjak,follow me,chorus
VI-VII-i,frost,no me no you,chorus
VI-VII-i,porcupine tree,buying new soul,chorus
VI-VII-i,infected mushroom,muse breaks,chorus
VI-VII-i,infected mushroom,muse breaks,verse
VI-VII-i,ltn,ordinary people - d-mad remix,chorus
VI-VII-i,zun,akutagawa ryuunosuke's kappa - candid friend,chorus
VI-VII-i,zun,idea,verse
VI-VII-i,chipzel,courtesy,chorus
VI-VII-i,fripside,only my railgun,chorus
VI-VII-i,rihanna,what now,chorus
VI-VII-i,telefon tel aviv feat dillion,feel the fall,chorus
VI-VII-i,carrie underwood,cowboy casanova,chorus
VI-VII-i,tom swoon and paris blohm,synchronize,chorus
VI-VII-i,tony igy,astronomia,chorus
VI-VII-i,bisbetic,feeling,chorus
VI-VII-i,sage koizumi,muv-luv - muv-luv extra ost,chorus
VI-VII-i,madeon,you're on ft kyan,verse
VI-VII-i,littlelamp100,mega man infamous intent - warped reality,chorus
VI-VII-i,nine inch nails,just like you imagined,verse
VI-VII-i,helloween,your turn,chorus
VI-VII-i,eric prydz,pjanoo,verse
VI-VII-i,arty,stronger,chorus
VI-VII-i,avicii,waiting for love,verse
VI-VII-i,varius manx,piosenka ksiezycowa,chorus
VI-VII-i,grouplove,shark attack,chorus
VI-VII-i,zun,pure furies - whereabouts of the heart,chorus
VI-VII-i,the living end,west end riot,chorus
VI-VII-i,clean bandit,stronger,chorus
VI-VII-i,twenty one pilots,tear in my heart,chorus
VI-VII-i,shoji meguro,persona 4 - reach out to the truth,chorus
VI-VII-i,koji kondo,athletic bgm super mario bros 3,verse
VI-VII-i,ryo,black rock shooter,chorus
VI-VII-i,the bird and the bee,will you dance,chorus
VI-VII-i,zun,illusionary joururi,chorus
VI-VII-i,senpi,awakening wolf's instinct,verse
VI-VII-i,la roux,in for the kill,chorus
VI-VII-i,hook n sling,tokyo by night axwell remix,chorus
VI-VII-i,beyond less,locked girl alice,chorus
VI-VII-i,adele,when we were young,chorus
VI-VII-i,saves the day,where are you,verse
VI-VII-i,sia,i'm in here,chorus
VI-VII-i,toby fox,spear of justice,chorus
VI-VII-i,u2 akiyama,memory of forgathering dream,chorus
VI-VII-i,the supremes,stop in the name of love,chorus
VI-VII-i,galantis,no money,chorus
VI-VII-i,muse,blackout,verse
VI-VII-i,michiru yamane,castlevania sotn - dracula's castle,chorus
VI-VII-i,fuwarip,yuyushiki op - seeno,verse
VI-VII-i,fuwarip,yuyushiki op - seeno,chorus
VI-VII-i,yuki iwai,mega man x2 - magna centipede stage,verse
VI-VII-i,eric prydz,opus,chorus
VI-VII-III,aerosmith,i don't want to miss a thing,chorus
VI-VII-III,billy joel,piano man,verse
VI-VII-III,britney spears,baby one more time,chorus
VI-VII-III,colbie callait,fallin' for you,chorus
VI-VII-III,colbie callait,fallin' for you,verse
VI-VII-III,diana ross,if we hold on together,chorus
VI-VII-III,eric clapton,you look wonderful tonight,verse
VI-VII-III,frog fractions soundtrack,rimushotto bungie jump,verse
VI-VII-III,jack johnson,flake,chorus
VI-VII-III,k-ci and jojo,all my life,verse
VI-VII-III,kenny chesney,summertime,chorus
VI-VII-III,kenny chesney,the road and the radio,verse
VI-VII-III,michael buble,haven't met you yet,chorus
VI-VII-III,missy higgins,night minds,chorus
VI-VII-III,missy higgins,night minds,verse
VI-VII-III,the beatles,a hard day's night,chorus
VI-VII-III,michael jackson,man in the mirror,chorus
VI-VII-III,donna summer,i feel love,chorus
VI-VII-III,adam green and binki shapiro,here i am,chorus
VI-VII-III,john mayer,who says,chorus
VI-VII-III,gary portnoy,where everybody knows your name - cheers theme,chorus
VI-VII-III,billy joel,goodnight saigon,verse
VI-VII-III,paul mccartney,teddy boy,verse
VI-VII-III,the rolling stones,wild horses,chorus
VI-VII-III,katy perry,thinking of you,chorus
VI-VII-III,johoshori-bu,seeno,chorus
VI-VII-III,ed sheeran,lego house,chorus
VI-VII-III,neon trees,everybody talks,chorus
VI-VII-III,they might be giants,museum of idiots,verse
VI-VII-III,matt gray,quedex - mindroll,verse
VI-VII-III,yoko ueno,raspberry heaven,chorus
VI-VII-III,ingrid michaelson,you and i,chorus
VI-VII-III,nobuo uematsu,bo-kon-ho-ko,chorus
VI-VII-III,traditional,sally in our alley,verse
VI-VII-III,steely dan,gaucho,verse
VI-VII-III,sarah blasko,flame trees,verse
VI-VII-III,bad religion,supersonic,chorus
VI-VII-III,howard shore,in a dream,verse
VI-VII-III,barbie young,cartoon heroes -speedy mix-,chorus
VI-VII-III,dio,rainbow in the dark,chorus
VI-VII-III,traveling wilburys,handle with care,chorus
VI-VII-III,paul kelly,how to make gravy,verse
VI-VII-III,jewel,near you always,verse
VI-VII-III,hal laboratory,adventures of lolo theme,verse
VI-VII-III,milktub ,uchotenjinsei-uchotenkazouku-op,chorus
VI-VII-III,kristen bell and idina menzel,for the first time in forever,chorus
VI-VII-III,the knack,my sharona,chorus
VI-VII-III,julieta venegas,canciones de amor,chorus
VI-VII-III,jason lee,the japanese play song,chorus
VI-VII-III,nintendo,earthbound zero - pollyanna,verse
VI-VII-III,s club 7,s club party,chorus
VI-VII-III,the good and the damned,little electric,chorus
VI-VII-III,shigeaki saegusa,gundam char's counterattack - main title,chorus
