cp,artist,song,section
IV-I-V,the who,won't get fooled again,verse
IV-I-V,ok go,here it goes again,verse
IV-I-V,train,drops of jupiter,chorus
IV-I-V,the gaslight anthem,biloxi parish,chorus
IV-I-V,spongebob squarepants,a day like this,chorus
IV-I-V,tiesto ft tegan and sara,feel it in my bones,verse
IV-I-V,brian fallon,the blues mary,chorus
IV-I-V,kaipa,smoke from a secret source,chorus
IV-I-V,marillion,marbles iii,verse
IV-I-V,the horrible crowes,black betty and the moon,verse
IV-I-V,the mighty mighty bosstones,the impression that i get,chorus
IV-I-V,sage koizumi,muv-luv - muv-luv extra ost,chorus
IV-I-V,wolfgang amadeus mozart,der holle rache kocht in meinem herzen,chorus
IV-I-V,the mighty mighty bosstones,like a shotgun,chorus
IV-I-V,a perfect circle,3 libras,verse
IV-I-V,booman,dart gang,verse
IV-I-V,galantis,peanut butter jelly,chorus
IV-I-V,the asteroids galaxy tour,heart attack,chorus
IV-I-V,guster,hang on,chorus
IV-I-V,black moth super rainbow,twin of myself,verse
IV-I-V,a-ha,the sun always shines on tv,chorus
IV-I-V,wjsn,momomo,chorus
IV-I-V,hiroki kikuta,meridian dance,chorus
IV-I-V,the rocky horror show,the time warp,chorus
IV-I-V,armanarx,sukirman,chorus
IV-I-V,duran duran,rio,chorus
IV-I-V,romain gauthier,kakkoii,verse
IV-I-V,romain gauthier,kakkoii,chorus
IV-I-V,wyd krakow 2016,blogoslawieni milosierni,chorus
IV-I-V,wyd krakow 2016,blogoslawieni milosierni,verse
IV-I-V,the gaslight anthem,blue dahlia,verse
IV-I-V,klangkarussell,sonnentanz,verse
IV-I-IV,counting crows,a long december,verse
IV-I-IV,elton john,can you feel the love tonight,chorus
IV-I-IV,lily chou chou,kaifuku suru kizu,verse
IV-I-IV,the kinks,lola,verse
IV-I-IV,abba,mamma mia,verse
IV-I-IV,kurt vile,jesus fever,verse
IV-I-IV,birds of tokyo,plans,chorus
IV-I-IV,smash mouth,allstar,chorus
IV-I-IV,bob marley,no woman no cry,chorus
IV-I-IV,gummi bears,adventures of the gummi bears,verse
IV-I-IV,wet wet wet,love is all around,chorus
IV-I-IV,ac dc,highway to hell,chorus
IV-I-IV,the beatles,back in the ussr,verse
IV-I-IV,the beatles,back in the ussr,chorus
IV-I-IV,david willcocks,o come o come emmanuel,verse
IV-I-IV,sarah mclachlan,adia,chorus
IV-I-IV,abba,sos,chorus
IV-I-IV,jean jacques perrey,brazilian flower,chorus
IV-I-IV,serbian soldiers,bog je srbin i on ce nas cuvati,chorus
IV-I-IV,disney,hakuna matata,chorus
IV-I-IV,yevgueni,welkenraedt,chorus
IV-I-IV,we the kings,stay young,verse
IV-I-IV,nobuo uematsu,you're not alone,chorus
IV-I-IV,kaizers orchestra,mr kaizers hans constanze og meg,chorus
IV-I-IV,tanaka kohuei,binks no sake,verse
IV-I-IV,hubert parry,jerusalem,verse
IV-I-IV,the gregory brothers,feel the bern,chorus
IV-I-IV,prince,1999,chorus
IV-I-IV,wilco,elt,verse
IV-I-vi,muse,starlight,chorus
IV-I-vi,the beatles,eight days a week,verse
IV-I-vi,pixies,where is my mind,verse
IV-I-vi,the national,exile vilify,verse
IV-I-vi,rush,red barchetta,verse
IV-I-vi,sam smith,leave your lover,chorus
IV-I-vi,kt tunstall,suddenly i see,chorus
IV-I-vi,the muppets,rainbow connection,verse
IV-I-vi,weezer,say it ain't so,verse
IV-I-vi,weezer,say it ain't so,chorus
IV-I-vi,one direction,rock me,verse
IV-I-vi,david wise,donkey kong country theme song,chorus
IV-I-vi,guster,hang on,chorus
IV-I-vi,judy garland,over the rainbow,chorus
IV-I-vi,covesthur,dayresponse,chorus
IV-I-vi,ruth b,lost boy,chorus
IV-V-vi,ayaka hirahara,jupiter,verse
IV-V-vi,diana ross,if we hold on together,chorus
IV-V-vi,elvis presley,can't help falling in love,chorus
IV-V-vi,elvis presley,i can't help falling in love,chorus
IV-V-vi,katy perry,california gurls,chorus
IV-V-vi,katy perry,california gurls,verse
IV-V-vi,nobuo uematsu,atma weapon theme,verse
IV-V-vi,kelly clarkson,catching my breath,chorus
IV-V-vi,nikki williams,glowing,chorus
IV-V-vi,johoshori-bu,seeno,chorus
IV-V-vi,skrillex,cinema remix,chorus
IV-V-vi,teen beach movie,can't stop singing,chorus
IV-V-vi,avicii,speed - burn and lotus f1 team mix,chorus
IV-V-vi,bonnie tyler,total eclipse of the heart,chorus
IV-V-vi,manowar,master of the wind,chorus
IV-V-vi,steerner -tjernberg -beerg -haal,names,chorus
IV-V-vi,gamma ray,lake of tears,chorus
IV-V-vi,killswitch engage,in due time,verse
IV-V-vi,tristam,till it's over,verse
IV-V-vi,linkin park,what i've done,chorus
IV-V-vi,yasunori mitsuda,chrono trigger - to far away times,chorus
IV-V-vi,dimitri vegas and like mike,find tomorrow - ocarina,chorus
IV-V-vi,lady gaga,guy,chorus
IV-V-vi,lana del rey,west coast,chorus
IV-V-vi,zedd ft ryan tedder,lost at sea,verse
IV-V-vi,zedd ft ryan tedder,lost at sea,chorus
IV-V-vi,zun,faith is for the transient people,chorus
IV-V-vi,ponderosa twins plus one,bound,chorus
IV-V-vi,zun,the shining needle castle sinking in the air,verse
IV-V-vi,zun,heian alien,chorus
IV-V-vi,zun,septette for the dead princess,chorus
IV-V-vi,the big bang theory,from the moment that i met you,chorus
IV-V-vi,astronaut-ft--harry-brooks-jnr,champions,chorus
IV-V-vi,eiffel65,hyperlink - deep down,chorus
IV-V-vi,madonna,hung up,chorus
IV-V-vi,dj project ft giulia,nu,chorus
IV-V-vi,they might be giants,experimental film,verse
IV-V-vi,rundfunk,turn around,verse
IV-V-vi,the presets,promises,chorus
IV-V-vi,calvin harris,we'll be coming back,chorus
IV-V-vi,nintendo,super mario galaxy - buoy base galaxy,verse
IV-V-vi,yoko takahashi,neon genesis evangelion - soul's refrain,chorus
IV-V-vi,zun,hiroari shoots a strange bird - till when,chorus
IV-V-vi,yoko shimomura,sanctuary ,chorus
IV-V-vi,kow otani,the wings of a boy who killed adolescence,verse
IV-V-vi,sebjak,follow me,chorus
IV-V-vi,frost,no me no you,chorus
IV-V-vi,porcupine tree,buying new soul,chorus
IV-V-vi,infected mushroom,muse breaks,chorus
IV-V-vi,infected mushroom,muse breaks,verse
IV-V-vi,ltn,ordinary people - d-mad remix,chorus
IV-V-vi,zun,akutagawa ryuunosuke's kappa - candid friend,chorus
IV-V-vi,zun,idea,verse
IV-V-vi,chipzel,courtesy,chorus
IV-V-vi,fripside,only my railgun,chorus
IV-V-vi,rihanna,what now,chorus
IV-V-vi,telefon tel aviv feat dillion,feel the fall,chorus
IV-V-vi,carrie underwood,cowboy casanova,chorus
IV-V-vi,tom swoon and paris blohm,synchronize,chorus
IV-V-vi,tony igy,astronomia,chorus
IV-V-vi,bisbetic,feeling,chorus
IV-V-vi,sage koizumi,muv-luv - muv-luv extra ost,chorus
IV-V-vi,madeon,you're on ft kyan,verse
IV-V-vi,littlelamp100,mega man infamous intent - warped reality,chorus
IV-V-vi,nine inch nails,just like you imagined,verse
IV-V-vi,helloween,your turn,chorus
IV-V-vi,eric prydz,pjanoo,verse
IV-V-vi,arty,stronger,chorus
IV-V-vi,avicii,waiting for love,verse
IV-V-vi,varius manx,piosenka ksiezycowa,chorus
IV-V-vi,grouplove,shark attack,chorus
IV-V-vi,zun,pure furies - whereabouts of the heart,chorus
IV-V-vi,the living end,west end riot,chorus
IV-V-vi,clean bandit,stronger,chorus
IV-V-vi,twenty one pilots,tear in my heart,chorus
IV-V-vi,shoji meguro,persona 4 - reach out to the truth,chorus
IV-V-vi,koji kondo,athletic bgm super mario bros 3,verse
IV-V-vi,ryo,black rock shooter,chorus
IV-V-vi,the bird and the bee,will you dance,chorus
IV-V-vi,zun,illusionary joururi,chorus
IV-V-vi,senpi,awakening wolf's instinct,verse
IV-V-vi,la roux,in for the kill,chorus
IV-V-vi,hook n sling,tokyo by night axwell remix,chorus
IV-V-vi,beyond less,locked girl alice,chorus
IV-V-vi,adele,when we were young,chorus
IV-V-vi,saves the day,where are you,verse
IV-V-vi,sia,i'm in here,chorus
IV-V-vi,toby fox,spear of justice,chorus
IV-V-vi,u2 akiyama,memory of forgathering dream,chorus
IV-V-vi,the supremes,stop in the name of love,chorus
IV-V-vi,galantis,no money,chorus
IV-V-vi,muse,blackout,verse
IV-V-vi,michiru yamane,castlevania sotn - dracula's castle,chorus
IV-V-vi,fuwarip,yuyushiki op - seeno,verse
IV-V-vi,fuwarip,yuyushiki op - seeno,chorus
IV-V-vi,yuki iwai,mega man x2 - magna centipede stage,verse
IV-V-vi,eric prydz,opus,chorus
IV-V-I,aerosmith,i don't want to miss a thing,chorus
IV-V-I,billy joel,piano man,verse
IV-V-I,britney spears,baby one more time,chorus
IV-V-I,colbie callait,fallin' for you,chorus
IV-V-I,colbie callait,fallin' for you,verse
IV-V-I,diana ross,if we hold on together,chorus
IV-V-I,eric clapton,you look wonderful tonight,verse
IV-V-I,frog fractions soundtrack,rimushotto bungie jump,verse
IV-V-I,jack johnson,flake,chorus
IV-V-I,k-ci and jojo,all my life,verse
IV-V-I,kenny chesney,summertime,chorus
IV-V-I,kenny chesney,the road and the radio,verse
IV-V-I,michael buble,haven't met you yet,chorus
IV-V-I,missy higgins,night minds,chorus
IV-V-I,missy higgins,night minds,verse
IV-V-I,the beatles,a hard day's night,chorus
IV-V-I,michael jackson,man in the mirror,chorus
IV-V-I,donna summer,i feel love,chorus
IV-V-I,adam green and binki shapiro,here i am,chorus
IV-V-I,john mayer,who says,chorus
IV-V-I,gary portnoy,where everybody knows your name - cheers theme,chorus
IV-V-I,billy joel,goodnight saigon,verse
IV-V-I,paul mccartney,teddy boy,verse
IV-V-I,the rolling stones,wild horses,chorus
IV-V-I,katy perry,thinking of you,chorus
IV-V-I,johoshori-bu,seeno,chorus
IV-V-I,ed sheeran,lego house,chorus
IV-V-I,neon trees,everybody talks,chorus
IV-V-I,they might be giants,museum of idiots,verse
IV-V-I,matt gray,quedex - mindroll,verse
IV-V-I,yoko ueno,raspberry heaven,chorus
IV-V-I,ingrid michaelson,you and i,chorus
IV-V-I,nobuo uematsu,bo-kon-ho-ko,chorus
IV-V-I,traditional,sally in our alley,verse
IV-V-I,steely dan,gaucho,verse
IV-V-I,sarah blasko,flame trees,verse
IV-V-I,bad religion,supersonic,chorus
IV-V-I,howard shore,in a dream,verse
IV-V-I,barbie young,cartoon heroes -speedy mix-,chorus
IV-V-I,dio,rainbow in the dark,chorus
IV-V-I,traveling wilburys,handle with care,chorus
IV-V-I,paul kelly,how to make gravy,verse
IV-V-I,jewel,near you always,verse
IV-V-I,hal laboratory,adventures of lolo theme,verse
IV-V-I,milktub ,uchotenjinsei-uchotenkazouku-op,chorus
IV-V-I,kristen bell and idina menzel,for the first time in forever,chorus
IV-V-I,the knack,my sharona,chorus
IV-V-I,julieta venegas,canciones de amor,chorus
IV-V-I,jason lee,the japanese play song,chorus
IV-V-I,nintendo,earthbound zero - pollyanna,verse
IV-V-I,s club 7,s club party,chorus
